id,name,continent,flag,cuisine_summary,dish1_name,dish1_desc,dish2_name,dish2_desc,dish3_name,dish3_desc,dish4_name,dish4_desc,dish5_name,dish5_desc
barbados,Barbados,North America,🇧🇧,"Bajan food is Caribbean with a British backbone — flying fish, cou-cou, ferocious pepper sauce, and rum cake. The flying fish is practically the national symbol.",Cou-cou and flying fish,The national dish. Okra-and-cornmeal polenta paired with flying fish in a herbed tomato sauce. Every Barbadian has an opinion on who makes it best.,Pudding and souse,"Pickled pork with sweet potato pudding, eaten on Saturdays. An island tradition as fixed as the weekend itself.",Macaroni pie,"Baked macaroni and cheese, Bajan-style — firmer, spiced with mustard and hot sauce, cut into squares. On every Sunday table.",,,,
belarus,Belarus,Europe,🇧🇾,"Belarusian food is Eastern European peasant cooking at its most potato-devoted — draniki (potato pancakes), thick beet soups, and pork stews. Filling, warming, and unashamedly starchy.",Draniki,Grated potato pancakes fried in oil until the edges are lacy and crisp. Served with sour cream. Belarus's most beloved dish.,Machanka,Thick stew of pork ribs and sausage in a rye flour sauce. Served with draniki or blini for mopping — a Sunday feast.,Kholodnik,"Cold bright-pink beet soup with cucumber, radish, hard-boiled egg, and sour cream. Refreshing in summer, striking on the table.",,,,
belgium,Belgium,Europe,🇧🇪,"Belgian food punches well above its size — arguably the world's best fries, chocolate that sets the global standard, beer-braised beef stew, and mussels eaten by the potful on newspaper-lined tables.",Moules-frites,"Mussels steamed open in white wine, butter, and shallots, served with a mountain of double-fried fries. Belgium's defining meal.",Carbonade flamande,Beef slow-braised in Belgian ale with thyme and bay until sticky and rich. Best eaten with thick-cut bread to catch the sauce.,Gaufres de Liège,"Dense, chewy waffles studded with pearl sugar that caramelizes as it bakes. Eaten warm, straight from the iron — no toppings needed.",,,,
belize,Belize,North America,🇧🇿,"Belizean food is a creole blend of Maya, Garifuna, and Caribbean traditions — rice and beans cooked in coconut milk, stewed chicken, and ceviche made from fish pulled off the barrier reef.",Rice and beans,Kidney beans slow-cooked in coconut milk and folded through rice. The Belizean daily staple — eaten at nearly every meal.,Hudut,"Garifuna coconut fish stew served with mashed plantain. Rich, slightly sweet, and deeply satisfying — a dish of the coast.",Garnaches,"Fried corn tortillas piled with refried beans, shredded cheese, and pickled cabbage. The Belizean roadside snack.",,,,
benin,Benin,Africa,🇧🇯,"Beninese cuisine is West African cooking at its most elemental — cornmeal and yam porridges anchoring every meal, peanut-based sauces layered with chiles and dried fish, and grilled bonga fish pulled from the lagoon. Acarajé (black-eyed pea fritters fried in palm oil) traveled from Benin to Brazil with the slave trade and became a street-food icon on two continents. Peanuts and peppers are the two constants; palm oil is the medium through which everything is cooked and flavored.",Amiwo,"Stiff cornmeal cooked in a red palm oil and tomato sauce. Rich, deeply spiced, and served with fish or slow-cooked meat.",Kuli-kuli,Ground peanut paste shaped into balls or sticks and deep-fried until crunchy. The everywhere snack of Benin and the wider region.,Grilled tilapia,"Whole tilapia marinated in chiles and spices, grilled over charcoal. Served with pepper sauce, fried plantain, and cold beer.",,,,
bhutan,Bhutan,Asia,🇧🇹,"Bhutanese food is fiery and humble — dried red chiles here aren't a seasoning, they're a vegetable. Yak cheese, chiles, and red rice form the holy trinity of a cuisine shaped by altitude and Buddhist tradition.",Ema datshi,"Fresh green chiles simmered with soft local yak cheese until melted into a saucy, fiery stew. Bhutan's national dish, eaten daily.",Phaksha paa,"Pork slow-cooked with dried red chiles and radish. Smoky, deeply spiced, and warming at altitude.",Red rice,"Nutty, chewy semi-milled red rice grown in the Paro valley. More complex than white rice and the base of every Bhutanese meal.",,,,
bolivia,Bolivia,South America,🇧🇴,"Bolivian food is high-altitude hearty — potato stews in countless varieties, marinated grilled meats, and juicy salteñas eaten as a mid-morning snack. Bolivia is the world's most diverse potato country.",Salteña,"Baked empanada filled with a juicy stew of beef or chicken with olives, egg, and potato. The juice running down your chin when you bite in is a feature, not a flaw.",Sopa de maní,"Peanut soup with beef, vegetables, and pasta. Thick, nutty, and deeply restorative — Bolivia's answer to cold mountain evenings.",Silpancho,"Breaded, pounded beef cutlet laid over rice and potatoes and topped with a fried egg and fresh salsa. The Cochabamba plate.",,,,
bosnia_and_herzegovina,Bosnia and Herzegovina,Europe,🇧🇦,"Bosnian food is grilled meat and Ottoman pastry — hand-rolled phyllo pies, skinless sausages over charcoal, and thick Bosnian coffee served in a džezva with a sugar cube and a piece of Turkish delight.",Ćevapi,"Skinless minced beef sausages grilled over charcoal, stuffed into pillowy somun flatbread with raw onion and kajmak cream. Bosnia's great street food.",Burek,"Coiled phyllo pastry filled with seasoned minced beef, baked until burnished gold. Breakfast food, late-night food, every-occasion food.",Bosanski lonac,"Layers of beef, lamb, and vegetables sealed in a clay pot and cooked for hours. The slow-cooked Bosnian stew at its most elemental.",,,,
botswana,Botswana,Africa,🇧🇼,"Botswanan cuisine is the food of a landlocked, semi-arid country — honest, sustaining, and built on what the land provides. Seswaa is the dish of weddings and ceremonies: beef or goat pounded after slow boiling into rough, shredded strands, served over sorghum or maize pap. Morogo (foraged wild leafy greens) is the everyday vegetable. Sun-dried meat preserves protein through dry seasons. It is food shaped by constraint and community, not abundance — and it carries that directness with quiet dignity.",Seswaa,"Beef or goat slow-boiled until falling apart, then pounded with a wooden pestle and served with pap. The dish of funerals, weddings, and national holidays.",Bogobe,"Thick sorghum or maize porridge eaten with stew, meat, or vegetables. The Botswanan staple — present at every meal.",Morogo,"Wild leafy greens simmered with onion and tomato. Simple, nutritious, and the everyday vegetable side across the country.",,,,
brazil,Brazil,South America,🇧🇷,"Brazilian food is a continent's worth of cuisines in one country — black bean stew from African traditions, Pampas barbecue from the south, and street food like acarajé from the Afro-Brazilian kitchens of Bahia.",Feijoada,"Black bean stew with pork cuts (ribs, sausage, ears, tail), served with rice, collard greens, farofa, and orange slices. The national dish — Saturday's communal meal.",Churrasco,"Brazilian barbecue: beef, lamb, and pork cuts cooked on long skewers over charcoal and sliced tableside. The rodízio format means it never stops coming.",Acarajé,"Black-eyed pea fritter deep-fried in dendê palm oil and stuffed with shrimp, vatapá paste, and hot sauce. The street food of Bahia.",,,,
brunei,Brunei,Asia,🇧🇳,"Bruneian food is Malay at its core — coconut milk curries, rice cooked in bamboo over fire, and ambuyat (sago starch paste) eaten communally by twirling it onto long bamboo forks.",Ambuyat,"Glutinous sago starch paste twirled onto a bamboo fork and dipped in a sour, spicy binjai fruit sauce. Brunei's national dish — communal, tactile, and unlike anything else.",Nasi katok,"Rice with fried chicken and sambal, wrapped in paper. Brunei's beloved cheap-and-cheerful meal, available at all hours.",Kelupis,"Glutinous rice cooked in turmeric and coconut milk, wrapped tightly in palm leaves. A traditional Bruneian festival snack.",,,,
bulgaria,Bulgaria,Europe,🇧🇬,"Bulgarian food is Balkan peasant cooking with a world-class yogurt culture — slow-roasted meats, stuffed peppers, and the tangy white sirene cheese that turns up in almost everything.",Banitsa,"Flaky filo pastry filled with beaten egg and crumbled sirene cheese, baked until golden. The Bulgarian breakfast — always with yogurt or boza.",Shopska salad,"Tomato, cucumber, roasted pepper, and onion piled high and blanketed in grated white cheese. The freshest, simplest thing on any Bulgarian table.",Kavarma,"Pork or chicken slow-cooked with peppers, mushrooms, and onions in a sealed clay pot. Rich, perfectly seasoned, made for cold evenings.",,,,
burkina_faso,Burkina Faso,Africa,🇧🇫,"Burkinabé food is West African grain-cooking at its most essential — millet and sorghum porridge with peanut-based sauces, street brochettes over charcoal, and simple soups that feed families on little.",Tô,"Stiff millet or sorghum paste eaten by hand, dipped into peanut sauce or baobab leaf sauce. The national staple — present at every meal.",Riz gras,"Rice cooked in a rich broth of meat, tomato, and vegetables until deeply flavored. The celebratory Friday dish.",Brochettes,"Skewered lamb or beef grilled over charcoal at every street corner. Eaten with raw onion, mustard sauce, and bread.",,,,
burma,Burma (Myanmar),Asia,🇲🇲,"Burmese cuisine sits at the cultural crossroads of India, China, and Southeast Asia — yet tastes like none of them. Lahpet thohk (fermented tea-leaf salad) is unlike anything else on earth: tossed tableside with peanuts, fried garlic, dried shrimp, and tomatoes. Mohinga, the national breakfast, is a catfish-and-lemongrass noodle soup eaten by millions every morning. Ohn-no khao swe (coconut chicken noodles) is comfort food of the highest order. The cuisine rewards curiosity — every dish has layers that reveal themselves slowly.",Tea leaf salad (lahpet thoke),"Fermented tea leaves tossed tableside with crunchy lentils, peanuts, sesame, cabbage, and lime. The dish to order first.",Mohinga,"Catfish-and-rice-noodle soup with lemongrass. The Burmese breakfast, eaten all day.",Coconut chicken noodle soup (ohn no khao swè),"Yellow curry coconut broth with egg noodles and chicken. Garnish with fried onions, chile, lime, hard egg.",,,,
burundi,Burundi,Africa,🇧🇮,"Burundian cuisine is quietly sustaining — built around the staples that keep a densely populated, landlocked country fed. Beans appear at nearly every meal: red kidney beans in thick sauce are the backbone of daily life. Ugali (stiff maize or sorghum porridge) is served alongside, scooped with the hand. Plantain, sweet potato, and cassava fill the gaps. On special occasions, goat is grilled over charcoal. The cuisine is humble and nourishing — a reflection of a country that grows most of what it eats.",Isombe,Pounded cassava leaves cooked in palm oil with onion and sometimes groundnuts. The everyday green stew — nutrient-dense and filling.,Mukeke,"Dried and grilled lake fish from Lake Tanganyika, eaten with ugali. The protein of the inland fishing economy.",Ibihaza,"Pumpkin cooked with kidney beans in a savory, lightly spiced stew. A humble and nourishing everyday staple.",,,,
cabo_verde,Cabo Verde,Africa,🇨🇻,"Cape Verdean food is Atlantic island cooking with deep Portuguese roots — slow-simmered corn and bean stews, freshly grilled tuna, and cachupa (the national dish) that cooks all day and tastes better the next morning refried.",Cachupa,"Slow-cooked stew of hominy corn, beans, and whatever meat or fish is available. The national dish — eaten for dinner, then fried up crispy for breakfast the next day.",Peixe grelhado,Fresh tuna or wahoo grilled over charcoal with lemon and local spices. The simplest and most satisfying thing the surrounding ocean offers.,Caldo de peixe,"Clear fish broth with vegetables and cassava. Light, restorative, the everyday soup of the islands.",,,,
cambodia,Cambodia,Asia,🇰🇭,"Cambodian food is subtle and herb-forward — sour soups fragrant with lemongrass and kaffir lime, coconut-based curry pastes, and fish amok (the national dish) steamed in banana leaf until barely set.",Fish amok,"Freshwater fish in a coconut milk and kroeung (lemongrass paste) curry, steamed in banana leaf until just set. Cambodia's national dish — delicate, fragrant, irreplaceable.",Bai sach chrouk,"Grilled pork over broken rice, eaten at breakfast. Simple, lightly smoky, and the Cambodian morning staple.",Nom banh chok,Rice noodles in a fresh green fish-based curry sauce with raw vegetables and herbs. The traditional Khmer breakfast noodle.,,,,
cameroon,Cameroon,Africa,🇨🇲,"Cameroonian food straddles West and Central Africa — peanut stews and grilled fish on the coast, bitter-leaf and palm oil dishes inland, and ndolé (the national dish) that is complex enough to anchor a whole cuisine.",Ndolé,"Bitter leaves stewed with groundnuts, shrimp, and beef or fish. Cameroon's national dish — rich, layered, and unlike anything else in the region.",Eru,"Shredded wild fern cooked with waterleaf and palm oil, served with water fufu. A dish of the western highlands, eaten with great ceremony.",Brochettes de boeuf,Beef skewers marinated and grilled over charcoal at every roadside. Eaten with fried plantain and a hot pepper sauce.,,,,
canada,Canada,North America,🇨🇦,"Canadian food is regional and quietly underrated — Québécois poutine and tourtière, Maritime seafood, Indigenous bannock and bison, and urban food scenes shaped by waves of immigration. The country is too large for a single cuisine.",Poutine,French fries topped with fresh cheese curds and hot brown gravy. Québec's greatest export — comfort food perfected and endlessly riffed on.,Butter tarts,"Flaky pastry shells filled with a gooey, runny butter-sugar-egg filling. Canada's most distinctly national dessert, debated endlessly (raisins or no raisins).",Tourtière,"Spiced pork and beef double-crust pie from Québec, eaten at Christmas and New Year's. Warm, deeply savory, and tied to family tradition.",,,,
central_african_republic,Central African Republic,Africa,🇨🇫,"Central African food is forest-to-table — cassava in every form, smoked and dried bush meat, greens cooked in palm oil, and groundnut-based stews. Simple, sustaining, shaped by the equatorial rainforest.",Gozo,Pounded cassava paste (fufu) eaten by hand and dipped into stews and sauces. The foundational daily staple of the CAR.,Kanda ti nyma,"Spiced meatballs in a peanut-and-tomato sauce, served over rice or with cassava. A festive dish reserved for celebrations.",Banda,Smoked or dried fish slow-cooked with greens in palm oil. The everyday protein dish across the country.,,,,
chad,Chad,Africa,🇹🇩,"Chadian food is Saharan and Sahelian — millet and sorghum porridges, dried fish from Lake Chad, and lamb stews seasoned with spices carried along trans-Saharan trade routes.",Boule,"Stiff millet or sorghum porridge rolled into balls and eaten by hand, dipped into soup or sauce. The Chadian daily staple.",Daraba,"Thick stew of okra, peanuts, tomatoes, and dried fish or meat. Earthy, filling, and the most common sauce eaten over boule.",Salanga,"Sun-dried and smoked small fish from Lake Chad. An essential regional protein, traded across the Sahel for centuries.",,,,
chile,Chile,South America,🇨🇱,"Chilean cuisine runs the length of one of the world's most geographically extreme countries — 4,300 kilometers of Pacific coastline, Atacama desert, Patagonian steppe, and Andean mountain. The sea defines the table: congrio (king crab), piure (sea squirt), and locos (abalone) are national obsessions. Inland: pastel de choclo (a corn-and-meat casserole), cazuela (slow broth with vegetables and beef), and empanadas from clay ovens. The Maipo and Casablanca valleys produce world-class Carménère and Sauvignon Blanc. Chilean food is not loud — it lets extraordinary raw ingredients speak quietly.",Pastel de choclo,"Ground beef, chicken, olives, hard-boiled egg, and raisins topped with a sweet corn crust and baked in a clay bowl. Chile's great comfort dish.",Cazuela,"Clear broth with beef or chicken, potato, corn on the cob, squash, and rice. The everyday Chilean soup — clean, nourishing, unpretentious.",Empanadas de pino,"Oven-baked pastry filled with spiced ground beef, onion, olive, egg, and raisin. The classic Chilean empanada — juicy inside, golden outside.",,,,
china,China,Asia,🇨🇳,"San Francisco's Chinatown — established in 1848 — is the oldest in North America and the birthplace of American-Chinese food as we know it. Dishes like chop suey and egg foo yung were invented here and spread across the country. Cecilia Chiang's Mandarin Restaurant introduced authentic regional Chinese cuisine to American diners in 1961. Today, SF's Chinese food scene spans Cantonese dim sum in Chinatown, hand-pulled Sichuan noodles in the Richmond, and some of the country's finest Hong Kong-style seafood — a 175-year culinary legacy still very much alive.",Xiaolongbao,"Shanghai soup dumplings — bite the side, sip the broth, then eat the rest. Don't burn yourself.",Mapo tofu,Silken tofu in a numbing chile-bean sauce with ground pork. Sichuan's calling card.,Dan dan noodles,Thin wheat noodles in spicy sesame-chile sauce with crispy pork. Mix before eating.,,,,
colombia,Colombia,South America,🇨🇴,"Colombian food is regional and hearty — Bogotá ajiaco, coastal seafood rice, and deep-fried street food. Arepas (corn cakes) are the constant — eaten at breakfast, lunch, dinner, and any moment in between.",Ajiaco,"Thick soup of three varieties of potato, chicken, corn, and guasca herb. Bogotá's defining dish — warming, complex, unlike any other potato soup.",Bandeja paisa,"The Antioquia mega-plate: beans, rice, chicharrón, chorizo, fried egg, avocado, fried plantain, and arepa. Not a meal — a statement.",Arepa,"Grilled or fried corn cake eaten at every meal. Plain, stuffed with cheese, smeared with butter — the backbone of Colombian daily eating.",,,,
comoros,Comoros,Africa,🇰🇲,"Comorian food is Indian Ocean island cooking — coconut milk rice, spiced meats, and the layered influence of Arab, Swahili, and French traders who passed through these perfume islands for centuries.",Pilao,"Spiced rice cooked with goat meat and warm spices — cinnamon, cardamom, cloves. Swahili-influenced, fragrant, and the dish of celebrations.",Mkatra foutra,"Coconut bread cooked on a griddle until golden. The Comorian morning staple — slightly sweet, eaten with tea.",Langouste grillée,"Fresh rock lobster grilled and served with a coconut-spiced sauce. The island's prized seafood, pulled straight from the Indian Ocean.",,,,
congo_drc,Congo (Dem. Rep.),Africa,🇨🇩,"DRC food spans the continent's largest country — cassava, plantain, and palm oil underpin everything, with smoked fish, grilled meats, and profound regional variation from the forest to the savanna.",Fufu,"Dense cassava paste rolled into balls and dipped into sauce or stew. The DRC daily staple — eaten by hand, always with something bold alongside.",Moambe chicken,"Chicken in a thick palm nut sauce. The national dish — oily, earthy, and deeply flavored by the palm fruit.",Pondu,Cassava leaves pounded and cooked in palm oil with onion and dried fish. The green stew present at every DRC table.,,,,
congo_republic,Congo (Republic of),Africa,🇨🇬,"Congolese (Republic) food is equatorial forest cooking — cassava is the backbone, palm oil is the fat, and freshwater fish and smoked meats are the proteins. Saka-saka (cassava leaf stew) is on every table.",Saka-saka,"Pounded cassava leaves slow-cooked in palm oil with garlic and onion. The most beloved everyday dish — deeply green, rich, and filling.",Poulet moambe,"Chicken simmered in palm butter sauce with garlic and chile. Central Africa's great chicken dish, rich with the taste of the forest.",Liboke de poisson,Fish wrapped tightly in banana leaves with spices and cooked over charcoal. The river fisherman's method — smoky and self-contained.,,,,
costa_rica,Costa Rica,North America,🇨🇷,"Costa Rican food is 'pura vida' on a plate — simple, fresh, and completely unpretentious. Gallo pinto at breakfast every single morning, and a cuisine that doesn't shout but consistently satisfies.",Gallo pinto,"Black beans and rice fried together with Lizano sauce, onion, and bell pepper. Costa Rica's national breakfast — eaten every morning without exception.",Casado,"The weekday lunch plate: rice, black beans, fried sweet plantain, salad, and a protein. The working Costa Rican's daily meal.",Olla de carne,"Beef and vegetable soup with yuca, plantain, corn on the cob, and chayote. The Sunday family soup, made slowly and eaten communally.",,,,
croatia,Croatia,Europe,🇭🇷,"Croatian food is two cuisines split by mountains — Adriatic seafood and olive oil on the coast, hearty Austro-Hungarian meat stews and pastries inland. Both sides are worth the trip.",Peka,"Lamb or octopus slow-cooked under a bell-shaped iron lid buried in embers. The Croatian feast dish — smoky, impossibly tender, worth the hours.",Brudet,"Fisherman's stew of multiple fish types with tomatoes, wine, and herbs, eaten with creamy polenta. The Dalmatian coast's defining dish.",Strukli,"Pasta dough stuffed with cottage cheese and sour cream, boiled or baked. Zagreb's comfort food — a Croatian cultural heritage dish.",,,,
cuba,Cuba,North America,🇨🇺,"Cuban food is slow-cooked and satisfying — black beans, braised pork, and fried sweet plantain at the center of nearly every plate. The Cuban sandwich took its form here before it conquered the world.",Ropa vieja,"Shredded beef braised long and slow in tomato sauce with peppers and onion. Cuba's national dish — the name means 'old clothes,' which tells you nothing about how good it tastes.",Moros y cristianos,"Black beans and white rice cooked together until the rice turns smoky and dark. The foundational Cuban side, named for the Moors and Christians of Spanish history.",Lechón asado,Whole pig marinated in mojo (sour orange and garlic) and roasted over an open pit. The centerpiece of every Cuban celebration.,,,,
cyprus,Cyprus,Europe,🇨🇾,"Cypriot food is Eastern Mediterranean mezze — grilled meats, charred halloumi, and slow-cooked lamb from clay pots. The island sits between Greek and Middle Eastern cooking and borrows freely from both.",Halloumi,Semi-hard brined sheep's milk cheese grilled or fried until golden outside and squeaky within. Cyprus's great gift to the world's breakfast tables and barbecues.,Souvla,"Large chunks of lamb or pork slow-roasted on a long skewer over charcoal for hours. The Cypriot Sunday ritual — unhurried, sociable, deeply satisfying.",Tava,"Lamb or pork layered with onion, tomato, and cumin in a sealed clay pot, baked slowly until tender. Village cooking at its most essential.",,,,
